english,spanish,english_length,spanish_length
i want mine .,yo quiero el mío .,4,5
he did not know where to go .,no sabía adónde ir .,8,5
how did he find us ?,¿ cómo nos ha encontrado ?,6,6
have you ever seen anything so beautiful ?,¿ alguna vez viste algo tan lindo ?,8,8
where is the lost and found ?,¿ dónde está objetos perdidos ?,7,6
"she tried to lift the box , but found it impossible .","ella trató de levantar la caja , pero lo vio imposible .",12,12
this is my mother .,esta es mi madre .,5,5
i abhor violence .,aborrezco la violencia .,4,4
i had lost my pen .,había perdido mi bolígrafo .,6,5
is this good material ?,¿ es de buena calidad esta tela ?,5,8
look at me when i m speaking to you .,mírame cuando te hablo .,10,5
tom left three days ago .,tom partió tres días atrás .,6,6
tom never had children .,tomás nunca tuvo hijos .,5,5
i m running behind schedule .,voy con retraso sobre lo previsto .,6,7
what s sauce for the goose is sauce for the gander .,"lo que es bueno para uno , es bueno para otro .",12,12
may i trouble you to pass me the salt ?,¿ te importaría pasarme la sal ?,10,7
"tom should have invited mary , but he didn t .","tom debía haber invitado a mary , pero no lo hizo .",11,12
i guess i lost track of the time .,imagino que perdí la noción del tiempo .,9,8
i believe in exercising regularly .,creo que es bueno hacer ejercicio regularmente .,6,8
that s my sister s camera .,ésa es la cámara de fotos de mi hermana .,7,10
you re incompetent .,tú eres incompetente .,4,4
"in my city , there is no school for learning esperanto .",no hay una escuela para aprender esperanto en mi ciudad .,12,11
they were too tired to climb a mountain .,estaban tan cansados que no subieron a la montaña .,9,10
tom is at school .,tom está en el colegio .,5,6
i enjoy taking pictures .,me gusta sacar fotos .,5,5
i need a car .,necesito un auto .,5,4
liars must have a good memory .,los mentirosos deben tener buena memoria .,7,7
it wasn t premeditated .,no fue premeditado .,5,4
what are you doing that for ?,¿ para qué estás haciendo eso ?,7,7
neither of his sons wanted to take over the business .,ninguno de sus hijos quiso hacerse cargo del negocio .,11,10
here s my receipt .,aquí está mi recibo .,5,5
tom has a lot of good ideas .,tom tiene muchas buenas ideas .,8,6
this watch needs to be repaired . it gains 20 minutes a day .,hay que arreglar este reloj . se adelanta veinte minutos en un día .,14,14
today i m feeling melancholic .,hoy estoy melancólica .,6,4
is tom a canadian citizen ?,¿ es tom ciudadano canadiense ?,6,6
you are correct in thinking so .,estás en lo correcto al pensar así .,7,8
what kind of person is tom ?,¿ qué clase de persona es tom ?,7,8
i ran into an old friend of mine outside the station .,me encontré con un amigo de hace tiempo afuera de la estación .,12,13
where are your suitcases ?,¿ dónde están tus maletas ?,5,6
my father spoils me .,mi padre me mima .,5,5
we aren t young .,no somos jóvenes .,5,4
where exactly do you live ?,¿ a dónde vives exactamente ?,6,6
i forgot my purse in the church .,me olvidé la cartera en la iglesia .,8,8
i assumed that you were canadian .,presumía que eras canadiense .,7,5
tom doesn t know what mary is like .,tom no sabe cómo es mary .,9,7
i agreed with tom .,estuve de acuerdo con tom .,5,6
he established a friendly relationship with the natives .,él estableció una relación de amistad con los nativos .,9,10
tom has an australian accent .,tom tiene acento australiano .,6,5
what are you thinking about ?,¿ en qué está usted pensando ?,6,7
call me at this number .,llámame a este número .,6,5
smoking affects your health .,fumar afecta a tu salud .,5,6
i love both of them .,me encantan ambos .,6,4
tom is very hungry .,tom tiene mucha hambre .,5,5
tom s explanation was too complex .,la explicación de tom era demasiado compleja .,7,8
you should find a job .,debes encontrar un trabajo .,6,5
that was of great help to me .,fue de gran ayuda para mí .,8,7
such a thing can t happen in japan .,una cosa así no puede pasar en japón .,9,9
i assumed you might be hungry so i brought some sandwiches .,"asumí que tendrían hambre , así que traje unos sándwiches .",12,11
the man is wearing a pair of glasses .,el hombre usa un par de anteojos .,9,8
i saw him enter the store .,lo vi entrar a la tienda .,7,7
"i ll leave tomorrow , weather permitting .","me iré mañana , si el tiempo lo permite .",8,10
you can t skateboard here .,no puedes andar en patineta aquí .,6,7
why do you think it happened ?,¿ por qué piensas que eso sucedió ?,7,8
we moved to new york last fall .,nos mudamos a nueva york el otoño pasado .,8,9
you should go and see for yourself .,deberías ir a verlo por ti misma .,8,8
i was barefoot .,estaba descalzo .,4,3
this air conditioner consumes a lot of electricity .,este aire acondicionado consume mucha electricidad .,9,7
he is present at the meeting .,él está presente en la reunión .,7,7
tom thought that mary wanted him to kiss her .,tom creyó que mary quería que él le besara .,10,10
i know tom is allergic to peanuts .,sé que tom es alérgico a los cacahuates .,8,9
i have to clean the bathroom .,tengo que limpiar el aseo .,7,6
a volunteer is a person who does useful things for society without pay .,un voluntario es un hombre que realiza labores útiles para la sociedad sin paga .,14,15
i have read the book .,me he leído el libro .,6,6
the missing cat has not been found yet .,todavía no se ha encontrado al gato desaparecido .,9,9
are you done with the paper ?,¿ has terminado con el artículo ?,7,7
i know where she lives .,sé dónde ella vive .,6,5
i m very busy this week .,estoy muy ocupado esta semana .,7,6
"i believe , beyond a shadow of a doubt , that she is innocent .","creo , sin sombra de duda , que ella es inocente .",15,12
i never get tired of that .,nunca me canso de eso .,7,6
you aren t any younger than i am .,no eres más joven que yo .,9,7
thank you for your attention .,gracias por vuestra atención .,6,5
his grades have improved significantly .,sus notas mejoraron significativamente .,6,5
it s now my turn to speak .,ahora es mi turno para hablar .,8,7
i ran into my old teacher at the station .,yo me encontré con mi antiguo profesor en la estación .,10,11
why would tom kill mary ?,¿ por qué tom mataría a mary ?,6,8
you d better do what you ve been asked to do .,es mejor que hagas lo que se te ha pedido hacer .,12,12
it ll be too late then .,entonces será demasiado tarde .,7,5
he won the next election .,él ganó las elecciones siguientes .,6,6
he graduated from cambridge with honors .,él se graduó de cambridge con honores .,7,8
"if you cheat on me again , i definitely won t forgive you .","si me engañas otra vez , definitivamente no te perdonaré .",14,11
you ticked them off .,tú les echaste la bronca .,5,6
this is the tallest building that i have ever seen .,este es el edificio más alto que jamás haya visto .,11,11
"whatever happens , i ll stick to my principles to the bitter end .","pase lo que pase , voy a mantener mis principios hasta el final .",14,14
how many guests are there ?,¿ cuántos huéspedes hay ?,6,5
i wish i had done that yesterday .,desearía haberlo hecho ayer .,8,5
let s have dinner .,cenemos .,5,2
do you live with your family ?,¿ vives con tu familia ?,7,6
keep warm .,manténgase abrigado .,3,3
he made an accurate report of the incident .,él hizo un informe exacto del caso .,9,8
would you be willing to show me how to do that ?,¿ estarías dispuesto a mostrarme cómo hacer eso ?,12,9
we re living with our uncle .,estamos viviendo con nuestro tío .,7,6
you ll ruin everything .,vas a arruinar todo .,5,5
"when it rains , the buses tend to run late .",cuando llueve los autobuses suelen retrasarse .,11,7
that was foolish of tom .,eso fue una insensatez de tom .,6,7
"if anyone can do it , it s you .","si alguien puede hacerlo , eres tú .",10,8
i am used to staying up late at night .,estoy acostumbrado a quedarme levantado hasta tarde en la noche .,10,11
it s only a game .,es solo un juego .,6,5
time heals many wounds .,el tiempo cura muchas heridas .,5,6
i want an enlargement of this photograph .,quiero una ampliación de esta fotografía .,8,7
you can look now .,ahora puedes mirar .,5,4
i lost my camera a little while ago .,perdí mi cámara hace poco .,9,6
the old man walked across the road carefully .,ese anciano cruzó la carretera con gran precaución .,9,9
mary can t come . she has to take care of her daughter .,mary no puede venir . tiene que cuidar a su hija .,14,12
he gave me a present .,él me dio un regalo .,6,6
i love books .,me encantan los libros .,4,5
how did tom get here ?,¿ cómo llegó tom aquí ?,6,6
how tall is your wife ?,¿ cuánto mide tu esposa ?,6,6
he knew it all along .,él lo sabía desde un comienzo .,6,7
i think we ve got everything we need .,creo que tenemos todo lo que necesitamos .,9,8
i ll start doing that tonight .,empezaré a hacerlo esta noche .,7,6
may i eat a little of it ?,¿ puedo comer un poco ?,8,6
"since i had a cold , i didn t go to school .","como estaba constipada , no fui a clase .",13,9
"tom , i d like you to meet somebody .","tom , me gustaría que conozcas a alguien .",10,9
he doesn t like coffee .,no le gusta el café .,6,6
where did you find him ?,¿ dónde lo encontraste ?,6,5
i want tom to read this .,yo quiero que tom lea esto .,7,7
you have to keep your promise .,debe mantener su promesa .,7,5
when were these trees planted ?,¿ cuándo se plantaron estos árboles ?,6,7
where are your papers ?,¿ dónde están tus papeles ?,5,6
there s a lot at stake .,hay un montón en juego .,7,6
tom has a good chance of being elected .,tom tiene una buena oportunidad de ser elegido .,9,9
i want to say thank you .,quiero dar las gracias .,7,5
i can understand your language .,puedo comprender su idioma .,6,5
i thought your remark was interesting .,encontré interesante tu comentario .,7,5
tom doesn t drink coffee .,tom no toma café .,6,5
i overslept again .,me volví a quedar dormido .,4,6
tom wrote to mary about john .,tom le escribió a mary sobre john .,7,8
it s true !,¡ es verdad !,4,4
tom s weak .,tom es débil .,4,4
i think that that book is not so interesting .,creo que ese libro no es tan interesante .,10,9
could i ask a favor of you ?,¿ puedo pedirte un favor ?,8,6
i m not sure who paid the bill .,no estoy segura de quién pagó la cuenta .,9,9
many thanks .,¡ muchas gracias !,3,4
will you go on a picnic with me ?,¿ vienes conmigo de picnic ?,9,6
i know the boy standing over there .,conozco al chico que está ahí parado .,8,8
tom read a lot .,tom leyó mucho .,5,4
the light is on .,la luz está encendida .,5,5
he doesn t approve of women smoking .,él no aprueba que las mujeres fumen .,8,8
i d like to come home now .,me gustaría volver a casa ahora .,8,7
here are some details .,aquí tenéis algunos detalles .,5,5
the paper is under the table .,el papel está debajo de la mesa .,7,8
i bought an umbrella .,compré un paraguas .,5,4
no one here pays .,nadie aquí paga .,5,4
he didn t say a word to me .,él no me dijo una palabra .,9,7
tom is really interested in greek mythology .,tom está realmente interesado en la mitología griega .,8,9
where s the boss ?,¿ dónde está el jefe ?,5,6
are you my mother ?,¿ sos mi madre ?,5,5
the color is purple rather than pink .,el color es más púrpura que rosado .,8,8
i saw the old man two or three times a week .,veía al anciano dos o tres veces por semana .,12,10
tom got robbed .,tom fue robado .,4,4
tom promised mary he d help john .,tom prometió a mary que ayudaría a john .,8,9
sorry for the harsh words .,lamento esas duras palabras .,6,5
i haven t been able to find out anything about it .,no he podido averiguar nada al respecto .,12,8
everyone knows the law .,todos conocen la ley .,5,5
my father bought me the book .,mi padre me compró este libro .,7,7
it was too small .,era demasiado pequeño .,5,4
the war had united the american people .,la guerra unió al pueblo norteamericano .,8,7
it was a great privilege working with you .,era un gran privilegio trabajar contigo .,9,7
he must be very happy .,él debe estar muy feliz .,6,6
i d like to go for a swim .,me gustaría ir a bañarme .,9,6
will you pass me the sugar ? here you are .,¿ me podrías pasar el azúcar ? aquí tienes .,11,10
love conquers all .,el amor vence todo .,4,5
can i use the phone ?,¿ puedo usar el móvil ?,6,6
it may be a trap .,podría ser una trampa .,6,5
i drank from the tap .,yo bebí de la canilla .,6,6
when did you learn to drive ?,¿ cuándo aprendiste a conducir ?,7,6
my girlfriend hasn t met my parents yet .,mi novia aún no conoce a mis padres .,9,9
what kind of places do you like ?,¿ qué tipo de lugares te gustan ?,8,8
did tom say who did that ?,¿ dijo tom quién hizo eso ?,7,7
can you teach me to fight ?,¿ me podrías enseñar a pelear ?,7,7
i have to go even if it rains cats and dogs .,tengo que ir aunque llueva a cántaros .,12,8
cows provide us with milk .,las vacas nos proveen de leche .,6,7
you had better not keep company with him .,harías mejor no acompañándolo .,9,5
that song reminds me of a famous movie actor .,esa canción me recuerda a un famoso actor de cine .,10,11
tom glanced at mary .,tom le echó una mirada a mary .,5,8
i waited for three hours .,esperé tres horas .,6,4
i ll do that right now .,haré eso ahora mismo .,7,5
that s hard to say .,es difícil de decir .,6,5
i didn t order them .,no los pedí .,6,4
the cement will set in a couple of hours .,el cemento fraguará en un par de horas .,10,9
tom is filling a bottle with water .,tom está llenando una botella con agua .,8,8
i think i m really in love for the first time .,creo que estoy verdaderamente enamorado por primera vez .,12,9
there are some boys in the park .,hay algunos chicos en el parque .,8,7
"you are young . i , on the contrary , am very old .","tú eres joven . yo , por el contrario , soy muy vieja .",14,14
we re through .,hemos terminado .,4,3
tom shouldn t spend so much .,tom no debería gastar tanto .,7,6
is the meeting today or tomorrow ?,¿ es la reunión hoy o mañana ?,7,8
do you know a good dentist ?,¿ conoces a un buen dentista ?,7,7
i ran into the classroom out of breath .,entré corriendo sin aliento a la sala .,9,8
fear nothing .,no temas a nada .,3,5
i m glad you asked me to join you .,me alegro de que me pidieras unirme a ti .,10,10
you are very beautiful .,eres muy guapa .,5,4
the theater used to stay open all day long .,el teatro solía estar abierto todo el día .,10,9
we need to make some changes .,necesitamos hacer algunos cambios .,7,5
"without a passport , leaving a country is out of the question .",está fuera de discusión salir del país sin pasaporte .,13,10
lunch is served .,la comida está servida .,4,5
they made fun of me .,ellos se burlaron de mí .,6,6
she found him handsome .,a ella le pareció guapo .,5,6
she advised him to go to the police .,le aconsejó que fuera a la policía .,9,8
i never go on vacation without my cellphone .,nunca me voy de vacaciones sin mi celular .,9,9
i know that you still love me .,sé que todavía me quieres .,8,6
how many things did you buy ?,¿ cuántas cosas compraste ?,7,5
lots of religious songs in ladino are translations from hebrew .,muchas canciones religiosas en judeoespañol son traducciones del hebreo .,11,10
find out all you can about tom s business .,averigua todo lo que puedas acerca de los negocios de tom .,10,12
may i take pictures here ?,¿ puedo sacar fotos aquí ?,6,6
tom stopped moving .,tom dejó de moverse .,4,5
the cat is very cute .,el gato es muy mono .,6,6
you don t have to get up early .,no tienes que levantarte pronto .,9,6
tom left home ten years ago .,tom abandonó la casa hace diez años .,7,8
we re going to die .,vamos a morir .,6,4
i d buy it .,yo lo compraría .,5,4
tom is a racist .,tomás es racista .,5,4
he can t be older than me .,no puede ser mayor que yo .,8,7
do you think i m insane ?,¿ creés que estoy loco ?,7,6
he came home right at ten .,llegó a casa exactamente a las diez .,7,8
proverbs are full of wisdom .,los proverbios están llenos de sabiduría .,6,7
i won t press charges .,no te denunciare,6,3
what was tom doing the last time you saw him ?,¿ qué estaba haciendo tom la última vez que lo viste ?,11,12
congratulations !,¡ felicidades !,2,3
i lost my inspiration .,perdí mi inspiración .,5,4
she came last .,ella ha llegado la última .,4,6
this is really a problem .,esto es realmente un problema .,6,6
she came back soon after five o clock .,ella volvió poco después de las cinco en punto .,9,10
i don t think we should stop right now .,no creo que debamos pararnos ahora .,10,7
this is the best seafood restaurant in the neighborhood .,esta es la mejor marisquería en el vecindario .,10,9
my work is finished .,mi trabajo está terminado .,5,5
do you know when tom got his driver s license ?,¿ sabes cuándo consiguió tom su licencia de conducir ?,11,10
he responded to her offer with a laugh .,él respondió a la proposición de ella riéndose .,9,9
the most important thing in life is having a lot of money .,lo más importante en la vida es tener mucho dinero .,13,11
tom gives me the creeps .,tom me da escalofríos .,6,5
boston is overrated .,boston está sobrevalorado .,4,4
we have to do the work in a day .,tenemos que hacer el trabajo en un día .,10,9
let s do it !,¡ hagámoslo !,5,3
i know that you lied .,sé que usted mintió .,6,5
i don t care what i do .,no me importa lo que haga .,8,7
he s a liar .,él es un mentiroso .,5,5
i just need a little time .,solo necesito un poco de tiempo .,7,7
they didn t even know what they had found .,ellos ni siquiera sabían lo que habían encontrado .,10,9
we played baseball yesterday .,ayer jugamos al béisbol .,5,5
i watched a tennis match on tv .,vi un partido de tenis por la tele .,8,9
what are you making now ?,¿ qué estás haciendo ahora ?,6,6
why are you so paranoid ?,¿ por qué es tan paranoico ?,6,7
i played soccer and my sister played tennis .,yo jugaba fútbol y mi hermana jugaba tenis .,9,9
he has a foreign car .,tiene un coche extranjero .,6,5
i m sure she will turn up soon .,estoy seguro de que ella aparecerá pronto .,9,8
i m tom s mom .,soy la madre de tom .,6,6
"to drive a car , you need a license .","para conducir un coche , se necesita el carnet de conducir .",10,12
she had no difficulty in learning the poem by heart .,ella no tuvo dificultad en aprender el poema de memoria .,11,11
tom doesn t know where he was born .,tom no sabe en dónde nació .,9,7
his words moved her to tears .,sus palabras hicieron que ella llorara de emoción .,7,9
i ll follow your advice .,voy a seguir tu consejo .,6,6
he fell into the water and drowned .,cayó al agua y se ahogó .,8,7
tom is snoring .,tom está roncando .,4,4
this is a good learning environment .,este es un buen entorno de aprendizaje .,7,8
picasso painted that picture in 1950 .,picasso pintó este cuadro en 1950 .,7,7
you guys are wrong .,ustedes están equivocados .,5,4
you must not be jealous of others success .,no deberías estar celoso del éxito de otros .,9,9
don t be offended . tom s that way with everyone .,no te ofendas . tom se comporta así con todos .,12,11
she was alone there .,ella estaba allí sola .,5,5
he lay in agony until the doctor arrived .,él yació agonizante hasta que llegó el médico .,9,9
i want you to come alone .,quiero que vengan ustedes solas .,7,6
the sun was about to set .,el ocaso era inminente .,7,5
i don t want to stay .,no me quiero quedar .,7,5
all the ice melted in just a single day .,todo el hielo se fundió en solo un día .,10,10
i got carded .,me pidieron mi identificación .,4,5
jeans take forever to dry .,los vaqueros tardan una eternidad en secarse .,6,8
do you want to do that today ?,¿ quieres hacerlo hoy ?,8,5
tell your mother about the trip .,dile a tu madre acerca del viaje .,7,8
i want to hear you scream .,quiero oírte gritar .,7,4
the pears we eat in japan look almost like apples .,las peras que comemos en japón parecen casi manzanas .,11,10
i like movies a lot .,me gustan mucho las películas .,6,6
i don t know why you re all so angry .,no sé por qué están todos ustedes tan enojados .,11,10
she was asked to convince him to get his son to paint the house .,le pidieron que lo convenciera para que su hijo pintara la casa .,15,13
a dog is sleeping on the porch .,un perro está durmiendo en la entrada .,8,8
my life would be really different if i hadn t done that .,mi vida sería muy diferente si no lo hubiera hecho .,13,11
i keep receiving unwanted emails .,me siguen llegando correos no deseados .,6,7
i ve finally found the woman i want to marry .,por fin he encontrado a la mujer con la que me quiero casar .,11,14
i will play the guitar for you .,tocaré la guitarra para ti .,8,6
i m richer than tom .,soy más rico que tom .,6,6
his behavior never ceases to surprise me .,su conducta nunca deja de sorprenderme .,8,7
i got your fax the other day .,recibí su fax el otro día .,8,7
halloween s celebrated in october .,halloween se celebra en octubre .,6,6
tom makes his own wine .,tom hace su propio vino .,6,6
tom threw something at me and i ducked .,tom me arrojó algo y yo me agaché .,9,9
don t look for me .,no me busques .,6,4
tom s alone .,tom está solo .,4,4
he didn t reveal his identity .,él no reveló su identidad .,7,6
"you play the piano , don t you ?","tocas el piano , ¿ no ?",9,7
my aunt brought me flowers .,mi tía me trajo flores .,6,6
he sometimes goes to tokyo on business .,a veces va a tokio a hacer negocios .,8,9
my wife is pregnant .,mi esposa está embarazada .,5,5
this hotel was built three years ago .,este hotel se construyó hace tres años .,8,8
where is your house ? it is over there .,¿ dónde está vuestra casa ? por allá .,10,9
tom should get some sleep .,tom debería dormir un poco .,6,6
i m patient .,soy paciente .,4,3
our director is a canadian .,nuestro director es canadiense .,6,5
you may invite whoever wants to come .,puedes invitar a quien sea que quiera venir .,8,9
tom is passed out in bed .,tom se ha desmayado en la cama .,7,8
who did you kill ?,¿ a quién mataste ?,5,5
i need to go get some eggs .,necesito ir a conseguir huevos .,8,6
"final exams are coming up , so i m busy .","se acercan los exámenes finales , así que estoy ocupado .",11,11
"i m young , too .",yo también soy joven .,6,5
tom has already finished the work that he needed to do .,tom ya terminó el trabajo que necesitaba hacer .,12,9
tom has one foot in the grave .,tom tiene un pie en la tumba .,8,8
this is an automatic door .,esta es una puerta automática .,6,6
tom asked mary for something hot to drink .,tom le pidió a mary algo caliente para beber .,9,10
tom has no need to worry .,tom no necesita preocuparse .,7,5
we have the whole place for ourselves .,tenemos todo el sitio para nosotras .,8,7
mary s husband s name is tom .,el marido de mary se llama tom .,8,8
will i have to give a lecture ?,¿ tendré que dar una conferencia ?,8,7
i have to sell them all today .,debo venderlas todas hoy .,8,5
i want someone to see it .,quiero que alguien lo vea .,7,6
you promised .,prometiste .,3,2
venus is a planet .,venus es planeta .,5,4
this text is aimed at beginners .,este texto está destinado a los principiantes .,7,8
it s stupid to even try to do that .,es tonto tan siquiera intentar hacerlo .,10,7
"in the early days of american history , blacks lived in slavery .","en los primeros días de la historia americana , los negros eran esclavos .",13,14
don t spoil your child .,no mimes a tu hijo .,6,6
that dress fit her perfectly .,ese vestido le sentaba de maravilla .,6,7
tom couldn t eat the whole sandwich .,tom no pudo comerse todo el sándwich .,8,8
there s something i want .,hay algo que quiero .,6,5
i m educated .,tengo formación .,4,3
hold still .,quieto .,3,2
tom faces a dilemma .,tom enfrenta un dilema .,5,5
how deep is this lake ?,¿ cómo de profundo es el lago ?,6,8
"write your name and address , please .","por favor , escriba su nombre y dirección .",8,9
it s very hot here in the summer .,aquí hace mucho calor en verano .,9,7
do you want me to take care of your dog ?,¿ querés que cuide a tu perro ?,11,8
i was not conscious of her presence .,yo no era consciente de la presencia de ella .,8,10
my wife s pregnant .,mi esposa está embarazada .,5,5
she hates him .,ella lo odia .,4,4
why won t you be here tomorrow ?,¿ por qué no estáis aquí mañana ?,8,8
i wish i had had a camera then .,ojalá hubiera tenido una cámara entonces .,9,7
he came back from china .,él volvió de china .,6,5
"i was taking a shower , so i didn t hear the phone .","estaba duchándome , de modo que no oí el teléfono .",14,11
i don t think it ll stop raining .,no creo que pare de llover .,9,7
a short walk brought me to the lake .,una pequeña caminata me trajo al lago .,9,8
i can t help you anymore .,ya no puedo ayudaros .,7,5
what places would you like to visit ?,¿ qué lugares desearías visitar ?,8,6
i almost forgot to tell tom about the party .,casi se me pasa comentarle lo de la fiesta a tom .,10,12
is that any way to talk to your teacher ?,¿ esas son maneras de hablar con tu profesor ?,10,10
i can t pay you back the money you lent me .,no te puedo devolver el dinero que me prestaste .,12,10
the output of this factory has increased by 20 .,la producción de esta fábrica ha aumentado un 20 .,10,10
would you like to go out for a drink after work ?,¿ le gustaría ir por un trago después del trabajo ?,12,11
i can t stand that heat .,no puedo soportar ese calor .,7,6
we go tomorrow .,nos vamos mañana .,4,4
bring me a bucket of water .,tráeme una cubeta de agua .,7,6
where did tom put the book he was reading ?,¿ dónde dejó tom el libro que estaba leyendo ?,10,10
is it time to eat ?,¿ es hora de comer ?,6,6
you all aren t as fast as i am .,son menos rápidos que yo .,10,6
why not go to boston ?,¿ por qué no ir a boston ?,6,8
i wish you could ve heard tom sing .,me gustaría que hubieras escuchado cantar a tom .,9,9
we have run out of sugar .,ya no nos queda azúcar .,7,6
can you speak french ?,¿ sabes hablar francés ?,5,5
you have to calm down .,tienes que tranquilizarte .,6,4
i m angry .,estoy enojado .,4,3
the shy boy was utterly embarrassed in her presence .,el chico tímido estaba totalmente avergonzado en su presencia .,10,10
i really can t do that .,realmente no puedo hacer eso .,7,6
i always knew tom would come back .,siempre supe que tom regresaría .,8,6
tom and i are married to each other .,tom y yo estamos casados .,9,6
tom couldn t get in touch with mary .,tom no pudo ponerse en contacto con mary .,9,9
i live near here .,yo vivo cerca de aquí .,5,6
i watch television .,veo la televisión .,4,4
i thought tom was dead .,pensé que tom estaba muerto .,6,6
we stayed at an economy hotel .,pasamos la noche en un hotel económico .,7,8
did you watch tv tonight ?,¿ has visto la televisión esta noche ?,6,8
she plays golf every weekend .,ella juega al golf todos los fines de semana .,6,10
she s on a diet .,está a dieta .,6,4
i don t have enough money to buy the medicine my father needs .,no tengo suficiente dinero para comprar el medicamento que mi padre necesita .,14,13
falling rocks present a danger to climbers .,el desprendimiento de rocas representa un peligro para los alpinistas .,8,11
i wonder whether or not tom needs to do that .,me pregunto si acaso tom necesita hacer eso .,11,9
i didn t hear it .,no lo escuché .,6,4
are you eating lunch ?,¿ estás comiendo ?,5,4
i have to write a letter .,tengo que escribir una carta .,7,6
i want to go somewhere in europe .,quiero ir a algún lugar de europa .,8,8
we all know it .,eso lo sabemos todos .,5,5
what do you want me to do with this ?,¿ qué querés que haga con esto ?,10,8
i m depending on you .,yo dependo de ti .,6,5
children hate cod liver oil .,los niños odian el aceite de hígado de bacalao .,6,10
did you hear the noise ?,¿ escuchaste ese ruido ?,6,5
she asked him out on a date .,ella le pidió una cita .,8,6
i know him by sight .,lo conozco de vista .,6,5
i missed you .,te eché de menos .,4,5
do you mind my turning on the radio ?,¿ te importa que encienda la radio ?,9,8
i wish i had gone to the theater last night .,ojalá hubiera ido al teatro la noche anterior .,11,9
he likes hunting .,le gusta cazar .,4,4
she s beautiful .,ella es hermosa .,4,4
he didn t specify when he would return .,él no especificó cuándo regresaría .,9,6
i helped my mother fold the laundry .,ayudé a mi madre a doblar la ropa lavada .,8,10
can you play that chord on the keyboard ?,¿ puedes tocar ese acorde en el teclado ?,9,9
the stores were closed due to the strike .,las tiendas estaban cerradas a causa de la huelga .,9,10
tom s daughter is out on her first date .,la hija de tom salió a su primera cita .,10,10
we should sit down .,deberíamos sentarnos .,5,3
school begins at 8 30 a . m .,el colegio empieza a las 8 y media .,9,9
everything changes .,todo cambia .,3,3
my room is a pigsty .,mi pieza es una pocilga .,6,6
take anything you like .,¡ tomá lo que quieras !,5,6
he is being very kind today .,él está siendo muy amable hoy .,7,7
tom had nothing else to say to mary .,tom no tuvo más que hablar con mary .,9,9
tom explained the situation to mary .,tom le explicó la situación a mary .,7,8
the meeting is nearly over .,la reunión está a punto de terminar .,6,8
what a great achievement !,¡ qué gran logro !,5,5
i d like to be an employee in a company .,me gustaría ser un empleado de una empresa .,11,9
will you please help me ?,"¿ me ayudarías , por favor ?",6,7
the dish is too sweet for tom .,el plato es demasiado dulce para tom .,8,8
who s talking ?,¿ quién está hablando ?,4,5
tom felt like crying .,tom sentía ganas de llorar .,5,6
don t wait .,¡ no esperes !,4,4
these blouses are long sleeved .,estas blusas son de manga larga .,6,7
why are you asking me all these questions ?,¿ por qué me hacen todas estas preguntas ?,9,9
tom wants some time to think about it .,tom quiere algo de tiempo para pensar al respecto .,9,10
tom is friendly to everybody .,tom es amistoso con todos .,6,6
he was loved by everybody .,todos lo querían .,6,4
tom came a little after noon .,tom vino poco después del mediodía .,7,7
this hat cost ten dollars .,este sombrero costó diez dólares .,6,6
don t do anything until i get there .,no hagas nada hasta que llegue ahí .,9,8
are you sure that you want to do that ?,¿ estás seguro de que quieres hacerlo ?,10,8
i want mine .,quiero el mío .,4,4
i m a swimmer .,soy nadadora .,5,3
i have no inspiration .,no tengo inspiración .,5,4
do you know noah s ark ?,¿ conoces el arca de noé ?,7,7
he got an important position in the company .,él tiene un importante puesto en la compañía .,9,9
what happened to him ?,¿ qué le ha pasado ?,5,6
"left alone , the baby began to cry .","al dejarle solo , el bebé comenzó a llorar .",9,10
they are more or less the same size .,son más o menos del mismo tamaño .,9,8
there are about 500 head of cattle on that ranch .,hay alrededor de 500 cabezas de ganado en ese rancho .,11,11
let s do more .,hagamos más .,5,3
tom didn t seem very busy .,tom no parecía estar muy ocupado .,7,7
tell us what you know about tom s family .,dinos lo que sepas sobre la familia de tom .,10,10
you have a problem there .,tienes un problema ahí .,6,5
tom was having a bad day .,tom estaba teniendo un mal día .,7,7
i need to see you in person .,necesito verte en persona .,8,5
tom will be here only a few days .,tom solo estará aquí unos pocos días .,9,8
i advised him not to drive .,le aconsejé que no condujera .,7,6
tom responded diplomatically .,tom respondió diplomáticamente .,4,4
don t come home too late .,no vengas muy tarde a casa .,7,7
you re sharp .,sois listas .,4,3
the letter will arrive in a week or so .,la carta llegará en más o menos una semana .,10,10
it s my brother s .,es el de mi hermano .,6,6
i ll buy you a beer .,te invito una cerveza .,7,5
i feel better than before .,me siento mejor que antes .,6,6
you ll have to wait and see .,tendrás que esperar y ver .,8,6
he is a doctor and a university professor .,él es doctor y profesor de una universidad .,9,9
i don t know whether this ll be of any use to you .,no sé si esto le servirá para algo .,14,9
i ve been very busy since i returned from abroad .,yo he estado muy ocupada desde que regresé del extranjero .,11,11
a friend of mine is coming this evening .,un amigo mío viene esta tarde .,9,7
i m not so sure that was a good idea .,no estoy muy seguro de que fuera buena idea .,11,10
how did you find tom ?,¿ cómo encontraste a tom ?,6,6
tom looked like he always looks .,tom se veía como siempre .,7,6
tomorrow is payday .,mañana es día de pago .,4,6
someone gave tom a car .,alguien le dio un carro a tom .,6,8
i hate riddles .,odio los acertijos .,4,4
where have you been hiding ?,¿ donde te has estado escondiendo ?,6,7
